연령,신장평균,신장표준편차,체중평균,체중표준편차
전체,156.78883259050062,11.256609540243517,56.99727694799588,14.283238415115413
82,148.7356615130756,13.963021066127723,52.38337010531191,15.613449047640952
80~81,150.671514383365,12.911870386068111,55.302714179706754,14.6174526658013
78~79,151.52639743864802,12.515070581754848,56.21903932797518,14.412971319590861
76~77,152.21733100861957,12.228678969855192,56.852169608975416,14.30430618340536
74~75,152.96549860822893,11.955913522055493,57.41880729987331,14.230255456418691
72~73,153.50861124007017,11.783737189008887,57.6802363819251,14.203583210147858
70~71,153.84800692310787,11.687674149438054,57.875779855902756,14.186749836815832
68~69,154.24552002410013,11.586795355243831,58.04236388145903,14.174521753326784
66~67,154.7720343112824,11.473033503688969,58.04598188080761,14.17427777954656
64~65,155.30201577643373,11.381995303554936,57.966520622312906,14.179847658705805
62~63,155.87056754226506,11.311157515623758,57.84932098751961,14.188871068191537
60~61,156.3461451621307,11.273606025388316,57.836885098795236,14.189884998596872
58~59,156.76396871345204,11.257103421169058,57.82757894356746,14.19065083544678
56~57,157.24634841549783,11.25732446936149,57.86690365895214,14.18745598471044
54~55,157.57592209179228,11.26935459209981,57.95270561452488,14.180861240765589
52~53,158.0838133832399,11.306693509437522,57.916480985296616,14.183582532464207
50~51,158.69628728979004,11.381742275950984,57.7109955646128,14.200758164071658
48~49,159.25654134613066,11.478616881552577,57.49226657780448,14.22228041041258
46~47,159.71333935742973,11.577084137866661,57.352666666666664,14.23775639316501
44~45,160.23458373519935,11.710217701079806,56.927145964581065,14.293240495148488
42~43,160.71081710258815,11.850604635862569,56.801696986295596,14.311971776804965
40~41,161.15994502760034,11.998825329978073,56.62359886585182,14.340407328607538
38~39,161.44117233449418,12.099201559249403,56.21348449378345,14.414044146816858
36~37,161.57197158471791,12.147822473107462,55.55305058832473,14.556148537530403
34~35,161.73526056187004,12.210215364827452,55.10482950889985,14.66875431503089
32~33,161.7861918508561,12.230057199370254,54.876066021728114,14.73115173559574
27~31,161.62349242875635,12.167306559195177,55.108843048221736,14.667689062131508
