연령,신장평균,신장표준편차,체중평균,체중표준편차
전체,170.383925361256,11.543979960211278,70.90279660514261,18.793718506184096
82,163.42381812753356,13.539658411208999,61.56550431380757,21.468085620873797
80~81,164.61319409819026,12.957796252665108,63.82751041103394,20.46434914874545
78~79,165.13334636816893,12.729924241881632,64.72108710528889,20.12417881377503
76~77,165.41495856361126,12.613787948502639,65.34553419934204,19.90683086511076
74~75,165.83355221153496,12.450933096056303,66.12859137602582,19.658927723293516
72~73,166.16046316545234,12.332136065515817,66.57237051770937,19.530979540131376
70~71,166.3665669282448,12.261128372163784,66.85750202299629,19.45367023066566
68~69,166.71551100618203,12.147936324509171,67.35377403550909,19.328409549497586
66~67,167.2781781935286,11.984579081163206,68.05900322036497,19.17110992136589
64~65,167.86995890155993,11.839219407523617,68.71210718795116,19.047578301283405
62~63,168.4790462110117,11.7189698445395,69.22590019272904,18.96564340434304
60~61,168.98127417311284,11.642874565039946,69.67876850493465,18.90471146708363
58~59,169.36555596290972,11.599006995139268,70.08183012782224,18.859463822137958
56~57,169.86483501499865,11.560857864283765,70.6916166712117,18.807229113695914
54~55,170.34498376991016,11.544437189901952,71.25890434682215,18.776294170233886
52~53,170.9887779711847,11.553739823326275,72.03048465910283,18.76168780559043
50~51,171.60973526393528,11.596616418422293,72.65067058956123,18.77294255613967
48~49,172.1953036471635,11.667221368264421,73.25034602977883,18.803280702956698
46~47,172.63120852417845,11.73848583819612,73.65896433380316,18.834865613028168
44~45,173.10465372253776,11.833605579633362,74.29158476228955,18.901094167342738
42~43,173.6320126081067,11.960748428812442,74.83721735959153,18.97497832266397
40~41,174.21374814950826,12.126084500694196,75.27997796623785,19.046213677762985
38~39,174.60768062992415,12.252470777661705,75.37598597120164,19.062981961848212
36~37,174.75126445389563,12.301351529687967,74.94289139388927,18.99106657763664
34~35,174.75176613297862,12.301524915616925,74.32340048659117,18.904977911150603
32~33,174.64912381554618,12.266426881399997,73.29613501576078,18.806380991011565
27~31,174.49175172144356,12.214093572821834,71.74865947160228,18.76334650485396
