nutrients,전체 평균,전체 표준오차,1-2 평균,1-2 표준오차,3-5 평균,3-5 표준오차,6-11 평균,6-11 표준오차,12-18 평균,12-18 표준오차,19-29 평균,19-29 표준오차,30-49 평균,30-49 표준오차,50-64 평균,50-64 표준오차,≥ 65 평균,≥ 65 표준오차
에너지(kcal),2234.24,23.84,1173.73,61.97,1420.08,45.01,1892.77,45.08,2331.73,95.09,2446.11,80.13,2452.86,41.21,2232.01,38.24,1817.83,30.51
단백질(g),83.41,1.11,38.79,2.13,49.22,1.99,70.0,2.09,92.67,4.41,98.31,3.72,91.8,1.82,79.73,1.68,63.97,1.57
지방(g),56.34,1.0,31.11,2.34,38.24,1.93,55.27,2.25,70.7,4.94,72.19,3.35,64.82,1.8,46.67,1.38,33.03,1.05
탄수화물(g),308.92,2.78,183.62,9.13,217.98,6.85,274.45,5.92,325.0,10.37,307.65,8.43,320.93,4.97,323.38,4.75,291.66,4.43
당(g),64.28,1.06,47.98,3.51,57.59,3.71,64.35,2.01,72.7,4.45,70.74,3.39,68.04,1.85,60.96,1.56,51.7,2.17
칼슘(mg),545.57,6.13,397.31,26.97,429.72,21.82,538.52,18.43,541.66,24.59,521.9,19.45,556.04,10.55,582.42,13.55,524.29,17.44
인(mg),1176.27,12.68,653.23,33.09,774.22,30.32,1020.72,28.15,1228.02,54.62,1269.37,42.72,1257.16,20.19,1189.88,21.9,1015.95,21.93
철(mg),12.99,0.18,6.58,0.53,6.98,0.25,9.47,0.34,12.44,0.5,13.55,0.59,13.74,0.3,13.98,0.3,12.4,0.36
나트륨(mg),3887.16,48.66,1172.24,97.77,1684.54,94.06,2717.6,88.42,3682.45,166.9,4031.05,147.51,4486.97,95.99,4036.15,86.73,3323.71,81.85
칼륨(mg),2943.78,31.6,1495.46,89.58,1711.74,60.76,2232.7,61.44,2709.59,109.25,2906.3,90.96,3146.47,51.3,3218.79,64.12,2827.77,71.61
비타민A(μgRAE),403.19,7.61,275.31,29.1,271.35,15.91,375.7,18.2,424.64,24.54,395.67,17.4,422.37,11.91,425.28,17.23,364.14,27.22
티아민(mg),1.53,0.02,0.76,0.04,0.92,0.04,1.28,0.05,1.74,0.12,1.72,0.07,1.6,0.03,1.53,0.02,1.3,0.03
리보플라빈(mg),1.83,0.02,1.02,0.06,1.17,0.05,1.68,0.05,1.95,0.08,2.12,0.07,2.0,0.03,1.76,0.04,1.39,0.03
엽산(μgDFE),334.4,4.3,170.2,10.59,188.45,6.45,244.48,9.04,284.6,12.26,295.95,11.56,346.67,6.54,394.91,8.24,352.81,9.4
나이아신(mg),14.72,0.21,6.15,0.34,8.2,0.36,11.63,0.46,15.71,0.82,17.0,0.71,16.45,0.39,14.21,0.29,11.67,0.26
비타민C(mg),66.19,1.67,56.99,6.79,64.99,7.24,61.33,3.7,60.2,4.54,64.08,4.75,69.95,2.96,68.8,3.01,61.41,3.05
동물성단백질비(%),51.7,0.47,54.82,1.8,57.23,1.4,58.29,0.87,58.54,1.46,58.96,1.11,54.49,0.81,46.13,0.79,38.25,1.0
지방급원에너지비(%),22.99,0.21,23.53,0.85,24.04,0.72,25.93,0.58,25.93,0.76,26.87,0.66,24.99,0.41,19.6,0.36,16.47,0.33
